iter	RMSE
0	128.4931268
1	124.9290981
2	121.9320942
3	119.3511859
4	117.2388234
5	115.4327345
6	113.8790138
7	112.5769839
8	111.5001795
9	110.656638
10	109.8857895
11	109.2577202
12	108.6978557
13	108.2558847
14	107.8453288
15	107.48432
16	107.2017041
17	106.9321317
18	106.6843828
19	106.462215
20	106.2606814
21	106.1204226
22	105.9747838
23	105.8589848
24	105.7452003
25	105.6442687
26	105.5620466
27	105.4495657
28	105.3776917
29	105.2952983
30	105.2126134
31	105.1633333
32	105.0868885
33	105.0208088
34	104.9835821
35	104.92021
36	104.8777992
37	104.8373773
38	104.7917457
39	104.7557448
40	104.7232484
41	104.688075
42	104.6492862
43	104.6291989
44	104.6171374
45	104.5924437
46	104.5744272
47	104.553161
48	104.5365108
49	104.4969152
50	104.4768677
51	104.4537253
52	104.434305
53	104.4169396
54	104.3967621
55	104.3848783
56	104.3640212
57	104.3504353
58	104.3393732
59	104.3271576
60	104.3172917
61	104.3081669
62	104.303143
63	104.2930749
64	104.273755
65	104.2612049
66	104.2549276
67	104.2296959
68	104.227742
69	104.2145585
70	104.2059355
71	104.1975621
72	104.1829587
73	104.1727289
74	104.1615871
75	104.1499206
76	104.1376539
77	104.1276219
78	104.1198093
79	104.1116642
80	104.1033342
81	104.0983247
82	104.0898998
83	104.0828405
84	104.076398
85	104.0645589
86	104.0567269
87	104.0500669
88	104.0493461
89	104.0417626
90	104.0383405
91	104.0298554
92	104.026259
93	104.0228962
94	104.0145272
95	104.0090085
96	104.0037694
97	103.9958891
98	103.9934262
99	103.9856939
