iter	Passed	Remaining
0	31	3160
1	60	2963
2	90	2934
3	121	2926
4	151	2882
5	182	2862
6	214	2846
7	243	2801
8	275	2785
9	306	2754
10	336	2726
11	367	2698
12	398	2668
13	429	2638
14	462	2620
15	496	2609
16	528	2580
17	560	2552
18	591	2520
19	622	2490
20	654	2462
21	685	2430
22	717	2400
23	749	2372
24	782	2348
25	813	2315
26	844	2282
27	873	2245
28	903	2211
29	935	2181
30	967	2152
31	999	2123
32	1032	2095
33	1062	2063
34	1093	2031
35	1124	1998
36	1155	1967
37	1184	1933
38	1215	1900
39	1246	1870
40	1277	1838
41	1308	1806
42	1338	1774
43	1370	1744
44	1383	1691
45	1414	1660
46	1446	1631
47	1475	1598
48	1505	1566
49	1535	1535
50	1566	1504
51	1596	1474
52	1629	1445
53	1660	1414
54	1691	1384
55	1722	1353
56	1756	1324
57	1787	1294
58	1818	1263
59	1849	1233
60	1878	1201
61	1909	1170
62	1928	1132
63	1959	1102
64	1991	1072
65	2024	1042
66	2056	1012
67	2087	982
68	2101	944
69	2132	914
70	2162	883
71	2192	852
72	2222	822
73	2255	792
74	2285	761
75	2315	731
76	2345	700
77	2378	670
78	2410	640
79	2442	610
80	2475	580
81	2507	550
82	2538	520
83	2569	489
84	2601	459
85	2634	428
86	2665	398
87	2696	367
88	2711	335
89	2745	305
90	2777	274
91	2808	244
92	2838	213
93	2869	183
94	2901	152
95	2933	122
96	2965	91
97	2997	61
98	3028	30
99	3060	0
