Model,RMSE,MAE,R²,Time
Catboost,84.9109880132393,63.09353733312329,0.665228296078151,17.65
XGBoost,85.03153483918842,63.127435241570154,0.6642770808484098,3.25
Light GBM,85.1613306879436,63.16247720409528,0.6632513743490809,3.55
MLP,85.17013929825703,64.80566673469195,0.6631817079687873,77.12
Extra Trees,85.48858103038133,63.65581763209143,0.660658346794497,29.79
Random Forest,85.492011801626,62.99129655608715,0.6606311097779871,20.44
KNN Regressor,85.57200175288224,63.10526329196885,0.6599957568383155,13.17
CNN-1D,85.7008459314729,65.47795915236483,0.6589711098357671,92.55
LSTM,86.77017823083243,64.79237443067,0.6504076398200718,362.08
GRU,87.75814898574166,65.79765106825072,0.6424013562238524,453.2
Support Vector Regression,109.8535921210213,84.65630623615503,0.4396627694743064,9032.72
Linear Regression,138.38404276003183,117.7466694982489,0.11081325092695193,1.01
Transformer,246.7469866031605,217.89588275834592,-1.8269925844251813,680.16
