Model,RMSE,MAE,R²,Time
LSTM,84.60341823810651,65.69048786270281,0.5484249075768456,691.33
CNN-1D,86.59913707336186,67.85134419882182,0.5268691268226711,154.19
MLP,88.30621226605916,70.19779371996479,0.5080322064270757,156.21
Catboost,88.49854935017923,68.95066419255815,0.5058867922615524,25.85
XGBoost,88.58083088460269,68.86249335005091,0.5049675615317197,4.89
Extra Trees,88.64090737443543,69.31144231033089,0.5042958609867529,14.61
Light GBM,88.64200045865107,69.17624698035054,0.5042836352610254,3.84
Random Forest,89.07500828173075,69.2097333158371,0.49942875082527016,33.49
KNN Regressor,89.10473276919556,69.20507108725702,0.49909461206468986,28.57
Linear Regression,100.72831386746086,80.89255023221679,0.35988605661050577,1.43
Support Vector Regression,101.66665181305542,80.14720883196875,0.3479045027604347,28341.75
GRU,110.90907937506906,87.78463096203578,0.22395240074282385,738.91
Transformer,119.54078454205874,97.85085967538927,0.0984571724978659,1183.21
