Model,RMSE,MAE,R²,Time
Light GBM,96.17171503459855,74.69327089982957,0.5264149767440058,4.42
Extra Trees,96.19985399814438,74.85480329004537,0.5261378029146464,55.74
Random Forest,96.28442016062021,74.74503149094791,0.5253043230455914,61.67
XGBoost,96.29990765075921,74.77435676129443,0.5251515997725825,2.2
KNN Regressor,96.43242332183776,74.89720186625,0.5246087759445979,14.93
Catboost,96.45083902495506,75.14995914141375,0.5236619683212511,23.12
LSTM,97.67172272697773,75.96376933098024,0.5123112980038802,123.36
GRU,98.67897346671758,77.66297049665405,0.5022007419928152,193.4
MLP,101.52760048697866,78.63153867238218,0.47304534749397287,31.27
CNN-1D,103.80894433721662,83.52466176515688,0.44909774740163466,27.07
Linear Regression,112.31232570306508,92.17420653776097,0.35411071650280923,1.08
Linear Regression,112.31232570306508,92.17420653776097,0.35411071650280923,0.58
Support Vector Regression,113.04774531984258,88.05962311619915,0.3466757043146247,6600.25
Transformer,146.63826040958926,127.17579577934083,-0.09925790839550319,954.33
