Model,RMSE,MAE,R²,Time
Light GBM,96.58405976328591,73.9702074685683,0.5347461252498714,4.06
KNN Regressor,96.63985432828643,73.94835655113334,0.5339127775615355,9.87
Random Forest,96.68048336732132,73.97665429995271,0.5338166996496588,46.4
XGBoost,96.6851348286555,73.9647989901123,0.5337718408387757,2.56
Extra Trees,96.72935617297308,74.27066182885312,0.5333452612845256,27.64
Catboost,96.99334365681901,74.62710488418698,0.530794657876507,20.78
LSTM,97.78743488772191,75.18298198384032,0.522777653311342,116.68
GRU,99.92160973880033,80.13105634814757,0.5017199404585932,260.86
CNN-1D,99.92830592251313,78.02653992688234,0.5016531543724391,28.87
MLP,101.52996748403228,80.24601915662964,0.4855500160152728,38.37
Support Vector Regression,114.70362667241318,88.37154646205457,0.3433877770678996,13592.99
Linear Regression,116.8765351573413,95.88742888116064,0.318707288819158,1.07
Transformer,128.38410545476978,104.34703633885864,0.1774218246141751,747.2
