Model,RMSE,MAE,R²,Time
GRU,90.86732868107433,70.14978827916906,0.5485486420287435,327.02
MLP,94.6294184236952,74.77489242476604,0.5103928132370337,71.99
Catboost,95.059263516265,73.65724289403916,0.5059347232169081,17.94
Catboost,95.059263516265,73.65724289403916,0.5059347232169081,12.82
Light GBM,95.14147593024684,73.88165586611171,0.5050797646990034,2.21
Light GBM,95.14147593024684,73.88165586611171,0.5050797646990034,1.51
XGBoost,95.1850813568205,73.65469427073715,0.5046259951239611,2.39
Extra Trees,95.43746029982685,74.48672392227705,0.5019955889508803,12.04
Random Forest,96.09376337464259,74.25742293126072,0.49512269782397456,14.14
KNN Regressor,96.21578195177665,74.2515998368699,0.49383971087242917,4.43
CNN-1D,96.89576916529342,77.10742458668066,0.48666004157693654,45.92
Linear Regression,118.53938993120643,97.78382838580545,0.23171771810595376,0.35
Transformer,119.73642841359168,96.78571705367402,0.2161227847149082,269.76
Support Vector Regression,120.77300440879584,94.76096099752195,0.20249175377679485,2149.98
Support Vector Regression,120.77300440879584,94.76096099752195,0.20249175377679485,2162.84
LSTM,123.70692944033645,104.10828243814447,0.1632735522501476,205.9
